"id","pop","lat","lon","year","sex","age","svl","weight","species"
"AA24187","Kowen",-35.3182715421627,149.343249096568,"2009","F","J",36.4,1.48,"Tympanocryptis lineata"
"AA24261","Royalla",-35.5001069338395,149.181133092595,"2010","M","A",49,4.94,"Tympanocryptis lineata"
"AA24349","Kowen",-35.3316193922038,149.342235707785,"2014","M","SA",43,3.3,"Tympanocryptis lineata"
"AA24350","Tuggeranong",-35.4307906804009,149.042672507945,"2014","M","A",55,5.5,"Tympanocryptis lineata"
"AA24001","Kowen",-35.3259056067956,149.332452696795,"2006",NA,NA,NA,NA,"Tympanocryptis lineata"
"AA24298","Googong",-35.4375837015855,149.22370048936,"2013","UK",NA,NA,NA,"Tympanocryptis lineata"
"AA24299","Googong",-35.4433358332858,149.24097299273,"2013","M","A",53,5.5,"Tympanocryptis lineata"
"AA24361","Googong",-35.4316538037044,149.231919397631,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24151","Royalla",-35.507129111899,149.17732110109,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24108","Royalla",-35.4934687287082,149.174624475296,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24109","Royalla",-35.5175248533465,149.181977687861,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24262","Kowen",-35.3102061875447,149.3419555194,"2010","F","J",32,1.3,"Tympanocryptis lineata"
"AA24188","Royalla",-35.4961835030686,149.178669171638,"2009","F","A",54,6.15,"Tympanocryptis lineata"
"AA24300","Googong",-35.4415999490732,149.218070509271,"2013","M","SA",45,3.83,"Tympanocryptis lineata"
"AA24002","Kowen",-35.3215625656023,149.337916310486,"2006",NA,NA,NA,NA,"Tympanocryptis lineata"
"AA24301","Googong",-35.4337389634274,149.229933109277,"2013","UK",NA,NA,NA,"Tympanocryptis lineata"
"AA24302","Googong",-35.4546988280937,149.235689404335,"2013","UK",NA,NA,NA,"Tympanocryptis lineata"
"AA24362","Googong",-35.449991489476,149.240007018258,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24152","Royalla",-35.4956028325067,149.189129179358,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24110","Royalla",-35.5014455328695,149.176106738274,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24111","Kowen",-35.3320217239247,149.32158696628,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24263","Kowen",-35.3186428027034,149.34182294695,"2010","M","A",50.6,6.77,"Tympanocryptis lineata"
"AA24189","Royalla",-35.5038738296894,149.171944293219,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24003","Kowen",-35.3211349188146,149.307250432623,"2006","M","A",55,5.2,"Tympanocryptis lineata"
"AA24303","Googong",-35.4273379844564,149.222090514017,"2013","UK",NA,NA,NA,"Tympanocryptis lineata"
"AA24304","Googong",-35.4363858252418,149.234090243916,"2013","UK",NA,NA,NA,"Tympanocryptis lineata"
"AA24363","Googong",-35.4510285607733,149.231904444181,"2015","F","J",34.7,1.72,"Tympanocryptis lineata"
"AA24112","Royalla",-35.4999775829203,149.180187723263,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24113","Kowen",-35.3273053129449,149.344597672533,"2007","F?","SA",46,3.6,"Tympanocryptis lineata"
"AA24264","Kowen",-35.3186667454787,149.35052193871,"2010","F","A",56.5,7.2,"Tympanocryptis lineata"
"AA24190","Royalla",-35.5023748381057,149.168112271027,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24004","Kowen",-35.3389951989312,149.33074794871,"2006","M","SA",41.7,3.1,"Tympanocryptis lineata"
"AA24305","Googong",-35.4463111454014,149.233897802571,"2013","M","A",51,5.1,"Tympanocryptis lineata"
"AA24306","Googong",-35.448765860228,149.236949025147,"2013","M?","A",52,5.4,"Tympanocryptis lineata"
"AA24364","Googong",-35.4504197764235,149.223712213316,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24153","Royalla",-35.4994480853261,149.191290660048,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24114","Royalla",-35.4945178718683,149.192013837593,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24191","Royalla",-35.5068925874596,149.174303274602,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24265","Kowen",-35.3369417637248,149.347699126381,"2010","M","A",54,6.6,"Tympanocryptis lineata"
"AA24192","Royalla",-35.5165910044603,149.187689081008,"2009","F","SA",45,2.5,"Tympanocryptis lineata"
"AA24005","Kowen",-35.3173600949009,149.34835472227,"2006","F","J",34,1.52,"Tympanocryptis lineata"
"AA24307","Googong",-35.4381806855895,149.245213212917,"2013","UK",NA,NA,NA,"Tympanocryptis lineata"
"AA24308","Googong",-35.4348438258377,149.225474169128,"2013","F?","A",52.3,5,"Tympanocryptis lineata"
"AA24365","Googong",-35.4333926606232,149.227651471788,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24154","Royalla",-35.5066448950091,149.177073863441,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24115","Royalla",-35.4936357040342,149.194116418494,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24193","Royalla",-35.5007309514635,149.186874846177,"2009","M","SA",46.63333333,3.55,"Tympanocryptis lineata"
"AA24266","Kowen",-35.3435747268062,149.326754519801,"2010","M","A",55.6,5.59,"Tympanocryptis lineata"
"AA24194","Royalla",-35.4938820433857,149.174306262462,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24351","Googong",-35.4403277832241,149.227641290703,"2014","M","A",55,5.9,"Tympanocryptis lineata"
"AA24006","Kowen",-35.3278529418307,149.332192277477,"2006","F","A",54,6.7,"Tympanocryptis lineata"
"AA24309","Googong",-35.4416913160691,149.226697366098,"2013","UK",NA,NA,NA,"Tympanocryptis lineata"
"AA24310","Googong",-35.4473783919886,149.238237308872,"2013","UK",NA,NA,NA,"Tympanocryptis lineata"
"AA24366","Googong",-35.4530829050515,149.249246031545,"2015","M","SA",43.76666667,4.12,"Tympanocryptis lineata"
"AA24195","Royalla",-35.5010329322919,149.168409678899,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24116","Royalla",-35.5095533808994,149.179083813662,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24196","Royalla",-35.5166171128966,149.190952376545,"2009","F","J",36,1.62,"Tympanocryptis lineata"
"AA24284","Kowen",-35.3169623651053,149.335056889052,"2011","F","J",35,1.45,"Tympanocryptis lineata"
"AA24267","Kowen",-35.3163584246109,149.338280075219,"2010","F","SA",47,3.8,"Tympanocryptis lineata"
"AA24311","Royalla",-35.482796653494,149.181033775273,"2013","M","A",51.2,4.88,"Tympanocryptis lineata"
"AA24292","Royalla",-35.4934626759903,149.186389087493,"2012","M?","SA",47,4.3,"Tympanocryptis lineata"
"AA24117","Royalla",-35.5051576633887,149.177194925215,"2007","M","SA",38,2.8,"Tympanocryptis lineata"
"AA24312","Googong",-35.4519139080622,149.217232474936,"2013","UK",NA,NA,NA,"Tympanocryptis lineata"
"AA24367","Googong",-35.4231160274502,149.219614405198,"2015","F","A",52,5.8,"Tympanocryptis lineata"
"AA24118","Royalla",-35.5118306988857,149.176763865069,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24119","Royalla",-35.5032765691155,149.182851769332,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24197","Royalla",-35.4930361866574,149.177628472276,"2009","F","A",52,5.36,"Tympanocryptis lineata"
"AA24293","Royalla",-35.4969575469444,149.185793876651,"2012","F","J",28.2,0.85,"Tympanocryptis lineata"
"AA24285","Royalla",-35.5006523153081,149.183782032232,"2011","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24313","Googong",-35.4325130973796,149.227399988674,"2013","M","A",53,5.8,"Tympanocryptis lineata"
"AA24294","Royalla",-35.500259701373,149.181412918379,"2012","M?","SA",43.6,3.08,"Tympanocryptis lineata"
"AA24387","Googong",-35.4504824676757,149.233691852036,"2016","M","A",52,5.24,"Tympanocryptis lineata"
"AA24155","Royalla",-35.5114839685024,149.189646887073,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24314","Googong",-35.4450667671304,149.241463265642,"2013","UK",NA,NA,NA,"Tympanocryptis lineata"
"AA24368","Googong",-35.4535751427523,149.228054235154,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24120","Royalla",-35.5081427269802,149.17451102449,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24121","Royalla",-35.4933528044829,149.178509207646,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24198","Royalla",-35.514585828104,149.189503178651,"2009","M","A",50.9,4.18,"Tympanocryptis lineata"
"AA24199","Royalla",-35.4906651792579,149.183170968889,"2009","F","J",35.8,2.04,"Tympanocryptis lineata"
"AA24315","Googong",-35.4624900880611,149.225203321526,"2013","UK",NA,NA,NA,"Tympanocryptis lineata"
"AA24295","Royalla",-35.4984967389862,149.177903186631,"2012","M?","A",52,5,"Tympanocryptis lineata"
"AA24316","Googong",-35.4357150092029,149.222778596599,"2013","M","A",54,5.4,"Tympanocryptis lineata"
"AA24317","Googong",-35.4311724351645,149.239951637438,"2013","F","A",55.9,5.7,"Tympanocryptis lineata"
"AA24369","Googong",-35.4399849281573,149.232165783193,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24370","Googong",-35.4549098015194,149.214614632406,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24318","Googong",-35.4388565778062,149.225545872321,"2013","M","A",48.1,5.4,"Tympanocryptis lineata"
"AA24388","Googong",-35.4559212322622,149.22864883843,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24319","Googong",-35.4153121239289,149.228246897086,"2013","M","SA",48,4.3,"Tympanocryptis lineata"
"AA24371","Googong",-35.4426896280816,149.231465317917,"2015","M","SA",44.4,3.1,"Tympanocryptis lineata"
"AA24320","Googong",-35.4283433250593,149.228439510613,"2013","F","A",52,5.87,"Tympanocryptis lineata"
"AA24321","Royalla",-35.5068932070879,149.187136105308,"2013","F","A",59.2,5.92,"Tympanocryptis lineata"
"AA24372","Googong",-35.4465181919264,149.236223030812,"2015","F","SA",43,3.03,"Tympanocryptis lineata"
"AA24373","Googong",-35.4386087435882,149.235268341197,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24322","Googong",-35.4476852051518,149.224566091183,"2013","F","J",33.46666667,1.11,"Tympanocryptis lineata"
"AA24374","Googong",-35.4288301926197,149.235988781106,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24375","Googong",-35.4220601345,149.227007968158,"2015","F","A",56,5.7,"Tympanocryptis lineata"
"AA24323","Googong",-35.4530639700569,149.246113749746,"2013","F","J",36,2.31,"Tympanocryptis lineata"
"AA24324","Googong",-35.4430451618227,149.238968129621,"2013","F","A",54,6,"Tympanocryptis lineata"
"AA24376","Googong",-35.4476413452349,149.250674318755,"2015","F","SA",43.7,4.04,"Tympanocryptis lineata"
"AA24377","Googong",-35.4327066979653,149.232015006151,"2015","M","A",49.6,4.6,"Tympanocryptis lineata"
"AA24325","Googong",-35.4289177598618,149.248099339325,"2013","M","J",32,1.2,"Tympanocryptis lineata"
"AA24326","Googong",-35.4323990759702,149.224263670396,"2013","M","A",56,6.2,"Tympanocryptis lineata"
"AA24327","Googong",-35.4527118281087,149.236864742001,"2013","M","A",51,5,"Tympanocryptis lineata"
"AA24378","Googong",-35.4395274706746,149.232407887367,"2015","M","A",49.8,4.57,"Tympanocryptis lineata"
"AA24328","Googong",-35.4331494293122,149.22249270035,"2013","F","A",52,6.2,"Tympanocryptis lineata"
"AA24352","Royalla",-35.5034678826377,149.173650367407,"2014","F","SA",46,4.37,"Tympanocryptis lineata"
"AA24379","Googong",-35.4541803477334,149.237698744025,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24353","Googong",-35.431194815042,149.225057924349,"2014","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24380","Googong",-35.4617583114248,149.225937105923,"2015","F","A",54.3,4.84,"Tympanocryptis lineata"
"AA24616","Unknown",NA,NA,"unknown",NA,NA,NA,NA,"Tympanocryptis lineata"
"AA24381","Googong",-35.4476216067963,149.239274554928,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24389","Kowen",-35.3513505906873,149.34109797344,"2016","M","A",56,7.1,"Tympanocryptis lineata"
"AA24390","Googong",-35.4307618473376,149.231381052867,"2016","M","A",57.3,6.17,"Tympanocryptis lineata"
"AA24391","Googong",-35.4441971171368,149.226082790956,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24392","Googong",-35.4305419168293,149.228117938894,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24382","Googong",-35.4499488161301,149.21574681268,"2015","F","A",52.4,5.63,"Tympanocryptis lineata"
"AA24393","Kowen",-35.3359509369104,149.339061025154,"2016","M","SA",42.4,3.3,"Tympanocryptis lineata"
"AA24394","Googong",-35.4558951718343,149.231822612155,"2016","M","A",51,5.5,"Tympanocryptis lineata"
"AA24395","Googong",-35.4325214988375,149.233002813137,"2016","M","A",55.6,4.9,"Tympanocryptis lineata"
"AA24396","Googong",-35.4644812645903,149.228871185827,"2016","M","A",51,5.1,"Tympanocryptis lineata"
"AA24383","Googong",-35.4455304232114,149.219439221406,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24397","Googong",-35.4470709866009,149.227893213149,"2016","M","SA",38,2.75,"Tympanocryptis lineata"
"AA24398","Googong",-35.4425647593843,149.217171530407,"2016","F","SA",47,4.3,"Tympanocryptis lineata"
"AA24399","Googong",-35.4402974048889,149.236072473526,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24400","Kowen",-35.316127001584,149.336731659105,"2016","F","SA",44.7,3.2,"Tympanocryptis lineata"
"AA24384","Googong",-35.4528350513583,149.23169598622,"2015","F","A",51.4,5.6,"Tympanocryptis lineata"
"AA24401","Googong",-35.4544588907274,149.224961314424,"2016","M","A",54.3,6.47,"Tympanocryptis lineata"
"AA24402","Googong",-35.4434134637099,149.228744043735,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24403","Googong",-35.4406605750015,149.225875891475,"2016","F","A",50,5.5,"Tympanocryptis lineata"
"AA24404","Googong",-35.4361696461444,149.228242091892,"2016","M","A",57,7.4,"Tympanocryptis lineata"
"AA24385","Googong",-35.4299113558447,149.220253699528,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24405","Googong",-35.4336548491971,149.227890744388,"2016","M","SA",48,4.9,"Tympanocryptis lineata"
"AA24406","Googong",-35.4531717539378,149.248749749554,"2016","F","J",31.7,1.51,"Tympanocryptis lineata"
"AA24407","Kowen",-35.3409249711081,149.339702327724,"2016","F","A",51,5.1,"Tympanocryptis lineata"
"AA24408","Googong",-35.4348591022986,149.250192405713,"2016","M","SA",39,2.4,"Tympanocryptis lineata"
"AA24386","Googong",-35.448573532282,149.232246005428,"2015","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24409","Googong",-35.432504992557,149.235360771513,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24410","Kowen",-35.3333983438967,149.332733210552,"2016","M","A",49.9,5.6,"Tympanocryptis lineata"
"AA24411","Googong",-35.4475660059318,149.227127399121,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24412","Googong",-35.4261674861016,149.212195991823,"2016","M","SA",45.7,3.72,"Tympanocryptis lineata"
"AA24413","Tuggeranong",-35.4485216519031,149.05835861201,"2016","F","J",36.6,1.94,"Tympanocryptis lineata"
"AA24414","Googong",-35.4291446993937,149.218558531266,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24415","Googong",-35.4484862957573,149.239185376553,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24416","Googong",-35.4593574686105,149.248576061738,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24417","Royalla",-35.4946608716225,149.177941346833,"2016","",NA,NA,NA,"Tympanocryptis lineata"
